N_Minors,Total_PAX,Income_number,Cost,Cost_Income,Lag,Meal_Type,Reservation_Status
2,4,25000,218,0.00872,41,BB,Check-In
3,6,75000,185,0.0024666666666666,36,BB,Check-In
3,6,25000,476,0.01904,3,BB,Check-In
3,7,100000,144,0.00144,12,BB,Check-In
1,2,37500,242,0.0064533333333333,13,BB,Check-In
3,8,100000,143,0.00143,13,BB,Check-In
1,3,25000,212,0.00848,-1,BB,Check-In
1,3,100000,170,0.0017,8,FB,Check-In
2,5,100000,245,0.00245,84,BB,Check-In
3,5,75000,636,0.00848,72,HB,Check-In
3,4,25000,318,0.01272,20,BB,Check-In
3,7,75000,208,0.0027733333333333,34,HB,Check-In
2,3,37500,145,0.0038666666666666,67,BB,Check-In
2,3,25000,720,0.0288,14,HB,Check-In
4,5,37500,492,0.01312,35,BB,Check-In
4,7,100000,203,0.00203,67,BB,Check-In
2,3,37500,660,0.0176,34,BB,Check-In
3,4,25000,182,0.00728,11,BB,Check-In
2,5,25000,168,0.00672,-1,BB,Check-In
1,2,75000,234,0.00312,6,BB,Check-In
5,6,25000,118,0.00472,36,BB,Check-In
2,3,100000,880,0.0088,68,BB,Check-In
1,4,37500,222,0.00592,71,BB,Check-In
3,8,37500,483,0.01288,69,BB,Check-In
1,3,75000,202,0.0026933333333333,125,HB,Check-In
2,5,25000,105,0.0042,77,BB,Check-In
2,4,25000,146,0.00584,47,BB,Check-In
2,5,37500,162,0.00432,59,BB,Check-In
2,3,25000,129,0.00516,76,BB,Check-In
1,3,75000,436,0.0058133333333333,97,BB,Check-In
1,3,25000,573,0.02292,115,BB,Check-In
2,7,37500,154,0.0041066666666666,94,BB,Check-In
2,5,37500,173,0.0046133333333333,95,BB,Check-In
3,7,75000,216,0.00288,68,BB,Check-In
3,6,75000,309,0.00412,42,BB,Check-In
1,4,75000,246,0.00328,39,BB,Check-In
2,7,100000,468,0.00468,12,BB,Check-In
1,4,75000,237,0.00316,35,BB,Check-In
3,7,37500,664,0.0177066666666666,39,BB,Check-In
3,4,75000,832,0.0110933333333333,66,HB,Check-In
1,2,37500,159,0.00424,44,BB,Check-In
2,4,37500,564,0.01504,42,BB,Check-In
1,3,75000,134,0.0017866666666666,15,BB,Check-In
1,3,75000,218,0.0029066666666666,69,HB,Check-In
3,4,75000,404,0.0053866666666666,103,BB,Check-In
1,3,75000,372,0.00496,44,BB,Check-In
3,6,25000,486,0.01944,94,BB,Check-In
2,3,25000,238,0.00952,112,BB,Check-In
2,4,25000,600,0.024,86,HB,Check-In
2,3,100000,111,0.00111,49,HB,Check-In
2,4,75000,720,0.0096,110,BB,Check-In
1,4,37500,237,0.00632,92,BB,Check-In
2,4,75000,228,0.00304,75,BB,Check-In
3,5,75000,175,0.0023333333333333,2,BB,Check-In
2,4,100000,796,0.00796,-3,BB,Check-In
1,3,75000,158,0.0021066666666666,0,BB,Check-In
3,5,100000,131,0.00131,-1,BB,Check-In
2,7,75000,149,0.0019866666666666,-1,BB,Check-In
2,4,37500,140,0.0037333333333333,-1,BB,Check-In
2,4,100000,143,0.00143,13,BB,Check-In
1,2,25000,225,0.009,9,BB,Check-In
2,5,100000,201,0.00201,4,BB,Check-In
2,4,37500,123,0.00328,16,BB,Check-In
2,6,25000,242,0.00968,92,BB,Check-In
3,4,37500,358,0.0095466666666666,1,HB,Check-In
1,2,25000,232,0.00928,9,BB,Check-In
3,4,100000,127,0.00127,2,BB,Check-In
4,7,25000,204,0.00816,50,BB,Check-In
1,4,75000,174,0.00232,70,BB,Check-In
2,3,75000,438,0.00584,61,BB,Check-In
3,4,75000,146,0.0019466666666666,61,BB,Check-In
1,6,75000,177,0.00236,100,BB,Check-In
