Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate
F,40,Latino,Grad,<25K,North,City Hotel,2015-07-01,2015-07-02,2015-05-21,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,218
F,49,Latino,Mid-School,50K -- 100K,East,City Hotel,2015-07-01,2015-07-02,2015-05-26,3,3,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,185
F,42,caucasian,Grad,<25K,East,City Hotel,2015-07-02,2015-07-06,2015-06-29,3,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,119
M,25,African American,College,>100K,South,Airport Hotels,2015-07-02,2015-07-03,2015-06-20,4,3,0,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,5,144
F,62,Latino,High-School,25K --50K,East,Resort,2015-07-03,2015-07-04,2015-06-20,1,1,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,10,242
M,34,African American,College,>100K,North,Airport Hotels,2015-07-03,2015-07-04,2015-06-20,5,2,1,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,10,143
F,53,African American,High-School,<25K,East,Airport Hotels,2015-07-03,2015-07-04,2015-07-04,2,1,0,BB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,25,212
M,40,Latino,Mid-School,>100K,North,City Hotel,2015-07-03,2015-07-04,2015-06-25,2,1,0,FB,No,No,No Deposit,Online,Yes,Check-In,No,0,170
M,59,African American,Mid-School,>100K,West,Resort,2015-05-06,2015-05-07,2015-02-11,3,2,0,BB,No,No,Non-Refundable,Direct,Yes,Check-In,Yes,10,245
M,21,Latino,Grad,50K -- 100K,West,City Hotel,2015-04-22,2015-04-25,2015-02-09,2,3,0,HB,Yes,No,Refundable,Online,No,Check-In,Yes,20,212
M,69,African American,High-School,<25K,South,City Hotel,2015-06-23,2015-06-26,2015-06-03,1,3,0,BB,No,No,Non-Refundable,Online,No,Check-In,No,0,106
F,52,Latino,College,50K -- 100K,South,Airport Hotels,2015-07-05,2015-07-06,2015-06-01,4,3,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,208
M,55,caucasian,College,25K --50K,North,City Hotel,2015-07-05,2015-07-06,2015-04-29,1,2,0,BB,Yes,No,No Deposit,Online,No,Check-In,No,0,145
F,42,Asian American,Grad,<25K,East,Airport Hotels,2015-07-05,2015-07-09,2015-06-21,1,2,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,25,180
